										
										
										
pollster	date	sampleSiz	dvalue	rvalue	finalD	finalR	year	winner	type	
GWU/Battleground	3/16 - 3/20	1000 LV	43	43	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/17 - 3/23	3500 LV	41	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/10 - 3/16	3500 LV	38	39	45.7	51.4	2014	R	congressional	
PPP (D)	3/6 - 3/9	1152 RV	43	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/3 - 3/9	3500 LV	39	39	45.7	51.4	2014	R	congressional	
FOX News	3/2 - 3/4	1002 RV	40	38	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	2/27 - 3/2	RV	46	45	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/24 - 3/2	3500 LV	39	36	45.7	51.4	2014	R	congressional	
CBS News/NY Times	2/19 - 2/23	RV	39	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/17 - 2/23	3500 LV	41	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/10 - 2/16	3500 LV	41	37	45.7	51.4	2014	R	congressional	
McClatchy/Marist	2/4 - 2/9	970 RV	46	44	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/3 - 2/9	3500 LV	40	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/27 - 2/2	3500 LV	39	40	45.7	51.4	2014	R	congressional	
PPP (D)	1/23 - 1/26	845 RV	40	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/20 - 1/26	3500 LV	42	37	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	1/20 - 1/23	RV	45	46	45.7	51.4	2014	R	congressional	
FOX News	1/19 - 1/21	1010 RV	41	43	45.7	51.4	2014	R	congressional	
Quinnipiac	1/15 - 1/19	1933 RV	37	38	45.7	51.4	2014	R	congressional	
GWU/Battleground	1/12 - 1/16	1000 LV	41	43	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/13 - 1/19	3500 LV	41	35	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/6 - 1/12	3500 LV	41	37	45.7	51.4	2014	R	congressional	
Quinnipiac	1/4 - 1/7	1487 RV	37	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/30 - 1/5	3500 LV	40	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/23 - 12/29	3500 LV	40	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/16 - 12/22	3500 LV	39	42	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	12/16 - 12/19	950 RV	44	49	45.7	51.4	2014	R	congressional	
FOX News	12/14 - 12/16	1027 RV	43	43	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	12/12 - 12/15	RV	47	45	45.7	51.4	2014	R	congressional	
PPP (D)	12/12 - 12/15	1316 RV	43	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/9 - 12/15	3500 LV	40	40	45.7	51.4	2014	R	congressional	
Quinnipiac	12/3 - 12/9	2692 RV	38	41	45.7	51.4	2014	R	congressional	
USA Today/Pew Research	12/3 - 12/8	1579 RV	48	44	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/2 - 12/8	3500 LV	38	43	45.7	51.4	2014	R	congressional	
McClatchy/Marist	12/3 - 12/5	988 RV	43	43	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/25 - 12/1	3500 LV	38	43	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	11/18 - 11/20	749 RV	47	49	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/18 - 11/24	3500 LV	41	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/11 - 11/17	3500 LV	39	40	45.7	51.4	2014	R	congressional	
FOX News	11/10 - 11/12	1006 RV	40	43	45.7	51.4	2014	R	congressional	
Quinnipiac	11/6 - 11/11	2545 RV	39	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/4 - 11/10	3500 LV	41	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/28 - 11/3	3500 LV	43	37	45.7	51.4	2014	R	congressional	
PPP (D)	10/29 - 10/31	649 RV	44	38	45.7	51.4	2014	R	congressional	
GWU/Battleground	10/27 - 10/31	1000 LV	44	41	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/21 - 10/27	3500 LV	43	37	45.7	51.4	2014	R	congressional	
FOX News	10/20 - 10/22	1020 RV	45	37	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	10/18 - 10/20	RV	50	42	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	10/17 - 10/20	RV	48	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/14 - 10/20	3500 LV	43	36	45.7	51.4	2014	R	congressional	
Pew Research	10/9 - 10/13	1259 RV	49	43	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/7 - 10/13	3500 LV	45	38	45.7	51.4	2014	R	congressional	
Democracy Corps (D)	10/6 - 10/8	860 LV	47	43	45.7	51.4	2014	R	congressional	
PPP (D)	10/4 - 10/6	1000 RV	46	41	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/30 - 10/6	3500 LV	40	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/23 - 9/29	3500 LV	42	38	45.7	51.4	2014	R	congressional	
Quinnipiac	9/23 - 9/29	1497 RV	43	34	45.7	51.4	2014	R	congressional	
PPP (D)	9/25 - 9/26	790 RV	45	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/16 - 9/22	3500 LV	40	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/9 - 9/15	3500 LV	38	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/2 - 9/8	3500 LV	39	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/26 - 9/1	3500 LV	39	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/19 - 8/25	3500 LV	38	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/12 - 8/18	3500 LV	38	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/5 - 8/11	3500 LV	39	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/29 - 8/4	3500 LV	38	41	45.7	51.4	2014	R	congressional	
Quinnipiac	7/28 - 7/31	1468 RV	40	36	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/22 - 7/28	3500 LV	39	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/15 - 7/21	3500 LV	40	38	45.7	51.4	2014	R	congressional	
Democracy Corps (D)	7/10 - 7/15	841 LV	43	44	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/8 - 7/14	3500 LV	38	39	45.7	51.4	2014	R	congressional	
Quinnipiac	6/28 - 7/8	2014 RV	39	34	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/1 - 7/7	3500 LV	39	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/24 - 6/30	3500 LV	38	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/17 - 6/23	3500 LV	40	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/10 - 6/16	3500 LV	39	39	45.7	51.4	2014	R	congressional	
PPP (D)	6/11 - 6/13	603 RV	47	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/3 - 6/9	3500 LV	40	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/27 - 6/2	3500 LV	40	40	45.7	51.4	2014	R	congressional	
Quinnipiac	5/22 - 5/28	1419 RV	38	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/20 - 5/26	3500 LV	41	39	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	5/16 - 5/19	RV	48	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/13 - 5/19	3500 LV	39	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/6 - 5/11	3500 LV	40	38	45.7	51.4	2014	R	congressional	
PPP (D)	5/6 - 5/9	1099 RV	45	43	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/29 - 5/5	3500 LV	40	38	45.7	51.4	2014	R	congressional	
Quinnipiac	4/25 - 4/29	1471 RV	41	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/22 - 4/28	3500 LV	39	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/15 - 4/21	3500 LV	41	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/8 - 4/14	3500 LV	42	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/1 - 4/7	3500 LV	41	38	45.7	51.4	2014	R	congressional	
Quinnipiac	3/26 - 4/1	1711 RV	43	35	45.7	51.4	2014	R	congressional	
PPP (D)	3/27 - 3/30	1247 RV	46	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/25 - 3/31	3500 LV	44	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/18 - 3/24	3500 LV	43	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/11 - 3/17	3500 LV	43	38	45.7	51.4	2014	R	congressional	
Democracy Corps (D)	3/9 - 3/12	840 LV	46	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/4 - 3/10	3500 LV	43	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/25 - 3/3	3500 LV	43	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/18 - 2/24	3500 LV	43	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/11 - 2/17	3500 LV	43	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	2/4 - 2/10	3500 LV	42	39	45.7	51.4	2014	R	congressional	
PPP (D)	1/31 - 2/3	800 RV	45	45	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/28 - 2/3	3000 LV	44	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/21 - 1/27	3000 LV	45	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/14 - 1/20	3000 LV	44	39	45.7	51.4	2014	R	congressional	
Democracy Corps (D)	1/10 - 1/14	852 LV	46	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/7 - 1/13	3000 LV	43	37	45.7	51.4	2014	R	congressional	
PPP (D)	1/3 - 1/6	1100 RV	47	41	45.7	51.4	2014	R	congressional	
Rasmussen Reports	1/2 - 1/6	3000 LV	44	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/26 - 12/30	3000 LV	46	35	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/17 - 12/22	3500 LV	44	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/10 - 12/16	3500 LV	46	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	12/3 - 12/9	3500 LV	46	36	45.7	51.4	2014	R	congressional	
Politico/GWU/Battleground	12/2 - 12/6	1000 LV	45	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/26 - 12/2	3500 LV	47	36	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/19 - 11/25	3500 LV	45	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/12 - 11/18	3500 LV	45	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	11/5 - 11/11	3500 LV	45	42	45.7	51.4	2014	R	congressional	
